普通话文本,藤县话文本,IPA,起始时间(音频时间戳)
我聊聊我的姐姐。,我讲讲我个亚姨。,[ŋɔ²⁴.kɔŋ⁴⁴.kɔŋ⁴⁴.ŋɔ²⁴.kɔ³³.a³³.i²³¹.],[00:00.000]
我姐姐一辈子都是一个受苦的人。,我亚姨呢，一辈子都是一个，受苦个人。,[ŋɔ²⁴.a³³.i²³¹.ni³³..iɐt³.ɓøi³³.ti⁴⁴.ɗu³³.ʃi²⁴.iɐt³.kɔ³³..ʃɐu²¹.fu⁴⁴.kɔ³³.ɲiɐn²³¹.],[00:04.996]
她十六岁出嫁，嫁到了一个地主家里头。,佢，十六岁出嫁，嫁到一个地主屋里头。,[ky²⁴..ʃɐp².lok².θøi³³.tʃʰɐt³.ka³³..ka³³.tou³³.iɐt³.kɔ³³.ti²¹.tʃy⁴⁴.ok⁵.ly²⁴.tɐu²³¹.],[00:11.159]
生活了一年之后呢就到（一九）四九年解放。,生活了一年之后呢就，四九年解放。,[ʃeŋ⁵².ut².liu²⁴.iɐt⁵.nin²³¹.tʃi³³.hɐu²⁴.ni³³.tɐu²¹..θi³³.kɐu⁴⁴.nin²³¹.kæ⁴⁴.fɔŋ³³.],[00:19.188]
解放了他的成分就划成了“地主”。,解放，佢，个成分就划成咯地主。,[kæ⁴⁴.fɔŋ³³..ky²⁴..kɔ³³.ʃeŋ²¹.fɐn²¹.tɐu²¹.uak².ʃeŋ²¹.lɔk³.ti²¹.tʃy⁴⁴.],[00:25.381]
就当了一辈子的地主婆。,就当了一辈子个地主婆。,[tɐu²¹.ɗɔŋ⁵².liu²⁴.iɐt³.ɓøi³³.ti⁴⁴.kɔ³³.ti²¹.tʃy⁴⁴.pɔ²³¹.],[00:30.023]
一辈子都是受苦。,一辈子都是，受苦。,[iɐt³.ɓøi³³.ti⁴⁴.ɗu³³.ʃi²⁴..ʃɐu²¹.fu⁴⁴.],[00:33.327]
她的家在大邮村。,佢个屋呢在，大邮村。,[ky²⁴.kɔ³³.ok⁵.ni³³.θœ²⁴..tæ²¹.iɐu²³¹.tʰun⁵².],[00:37.691]
大邮呢刚好是我去县城的半路中间的地方。,大邮呢，正是我，去县城个，一半路，中间个地方。,[tæ²¹.iɐu²³¹.ni³³..tʃeŋ³³.ʃi²⁴.ŋɔ²⁴..hy³³.ɲiun²¹.ʃeŋ²³¹.kɔ³³..iɐt³.ɓun³³.lu²¹..tʃoŋ³³.kan⁵².kɔ³³.ti²¹.fɔŋ⁵².],[00:42.383]
以前我们趁墟赶集去县城，要经过大邮村。,以前，我队趁墟是县城趁墟，要经过大邮村。,[i²⁴.θin²³¹..ŋɔ²⁴.tøi²¹.tʃʰɐn³³.hy⁵².ʃi²⁴.ɲiun²¹.ʃeŋ²³¹.tʃʰɐn³³.hy⁵²..ɲiu³³.keŋ⁵².kɔ³³.tæ²¹.iɐu²³¹.tʰun⁵².],[00:51.242]
后来我就到县城读中学。,后尾我到县城读中学。,[hɐu²¹.mi⁴⁴.ŋɔ²⁴.tou³³.ɲiun²¹.ʃeŋ²³¹.tok².tʃoŋ⁵².hɔk².],[00:57.971]
我是一九六四年考上的这个藤县中学。,我是，一九六四年，考上呢个，藤中。,[ŋɔ²⁴.ʃi²⁴..iɐt⁵.kɐu⁴⁴.lok².θi³³.nin²³¹..hɑo⁴⁴.ʃiæŋ²⁴.ni²¹.kɔ³³..tɐŋ²¹.tʃoŋ⁵².],[01:01.026]
读中学呢我们经常星期六会回家。,读中学呢，我队经常呢星期，六，会转屋。,[tok².tʃoŋ⁵².hɔk².ni³³..ŋɔ²⁴.tøi²¹.keŋ⁵².tʃiæŋ²³¹.ni³³.θeŋ⁵².ki²¹..lok²..uøi³³.tʃun³³.ok⁵.],[01:06.804]
回家就会经过她的那个村子。,转屋就经过佢村。,[tʃun³³.ok⁵.tɐu²¹.keŋ⁵².kɔ³³.ky²⁴.tʰun⁵².],[01:13.855]
经过她的那个村子，不管是去也好，还是回家也好，,经过佢村，不管是去也好，或者是转屋也好，,[keŋ⁵².kɔ³³.ky²⁴.tʰun⁵²..ɓɐt³.kun⁴⁴.ʃi²⁴.hy³³.iɛ²¹.hou⁴⁴..uɔk².tʃɛ⁴⁴.ʃi²⁴.tʃun³³.ok⁵.iɛ²¹.hou⁴⁴.],[01:15.365]
到她的村子时我一般都是要进我姐姐的家里喝碗粥，啊，喝两碗粥再赶路。,到佢村，我一般都是要入我亚姨个屋里头，吃碗粥，啊，吃两碗粥，再行路。,[tou³³.ky²⁴.tʰun⁵²..ŋɔ²⁴.iɐt³.ɓun⁵².ɗu³³.ʃi²⁴.ɲiu³³.ɲiɐp².ŋɔ²⁴.a³³.i²³¹.kɔ³³.ok⁵.ly²⁴.tɐu²³¹..hek⁵.un⁴⁴.tʃok⁵..a²¹..hek⁵.liæŋ²⁴.un⁴⁴.tʃok⁵..tœ³³.heŋ²¹.lu²¹.],[01:22.130]
我记得很清楚，有一年，那个时候她停在路边的一个茅草屋。,我记得好清楚，啊，有一年，诶亚只时候呢，佢是，停在，路边，亚粒茅寮。,[ŋɔ²⁴.ki³³.ɗɐk⁵.hou⁴⁴.tʰeŋ³³.tʃʰɔ⁴⁴..a²¹..iɐu²⁴.iɐt⁵.nin²³¹..ɐi²¹.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..ky²⁴.ʃi²⁴..teŋ²³¹.θœ²⁴..lu²¹.ɓin⁵²..a³³.nɐp⁵.mɑo²¹.liu²³¹.],[01:30.908]
因为她的房子已经被没收了。,因为佢个屋已经着没收开咯。,[ɐn⁵².uei²¹.ky²⁴.kɔ³³.ok⁵.i²⁴.keŋ⁵².tʃiæk².mut².ʃɐu⁵².hœ⁵².lɔk³.],[01:42.384]
她只能在村的边上那里。,佢只能够在，村边那啲。,[ky²⁴.tʃi⁴⁴.nɐŋ²¹.kɐu³³.θœ²⁴..tʰun³³.ɓin⁵².na²⁴.ɗi⁵².],[01:45.591]
因为她是“地主”嘛。,佢是地主嘛。,[ky²⁴.ʃi²⁴.ti²¹.tʃy⁴⁴.ma³³.],[01:48.667]
地主的房子已经被没收了，就是只能在村边搭起一个茅草房子。,地主屋经着没收开咯，就是在村边，搭粒茅寮。,[ti²¹.tʃy⁴⁴.ok⁵.keŋ⁵².tʃiæk².mut².ʃɐu⁵².hœ⁵².lɔk³..tɐu²¹.ʃi²⁴.θœ²⁴.tʰun³³.ɓin⁵²..ɗap³.nɐp⁵.mɑo²¹.liu²³¹.],[01:49.839]
我印象很深的。现在还正记得清清楚楚。,我印象好深个而家□记得清清楚楚。,[ŋɔ²⁴.iɐn³³.θiæŋ²⁴.hou⁴⁴.ʃɐm⁵².kɔ³³.i²¹.ka⁵².tʃeŋ²¹.ki³³.ɗɐk⁵.tʰeŋ³³.tʰeŋ⁵².tʃʰɔ³³.tʃʰɔ⁴⁴.],[01:54.554]
他那个丁点儿大的厨房，她的屋子，到处都是漏光的。,佢□厨房，佢个屋，到处都是漏，漏光个。,[ky²⁴.meŋ⁴⁴.tʃy²¹.fɔŋ²³¹..ky²⁴.kɔ³³.ok⁵..tou³³.tʃʰy³³.ɗu³³.ʃi²⁴.lɐu²¹..lɐu²¹.kɔŋ⁵².kɔ³³.],[01:58.889]
可以看得见外头的山，外头的田，啊，看得见路边。,可以睇得见外头个山，外头个田，啊，睇得见路边。,[hɔ⁴⁴.i²⁴.tʰei⁴⁴.ɗɐk⁵.kin³³.ŋœ²¹.tɐu²³¹.kɔ³³.ʃan⁵²..ŋœ²¹.tɐu²³¹.kɔ³³.tin²³¹..a²¹..tʰei⁴⁴.ɗɐk⁵.kin³³.lu²¹.ɓin⁵².],[02:04.212]
在屋里头看得见路边。,在屋里头睇得见路边。,[θœ²⁴.ok⁵.ly²⁴.tɐu²³¹.tʰei⁴⁴.ɗɐk⁵.kin³³.lu²¹.ɓin⁵².],[02:08.803]
也就是说，屋子四处都是被风吹进来，到处都漏光。,即讲，屋呢就四处是，着风吹，吹入来，到处漏光。,[tek⁵.kɔŋ⁴⁴..ok⁵.ni³³.tɐu²¹.θi³³.tʃʰy³³.ʃi²⁴..tʃiæk².foŋ⁵².tʃʰøi⁵²..tʃʰøi⁵².ɲiɐp².lœ²³¹..tou³³.tʃʰy³³.lɐu²¹.kɔŋ⁵².],[02:11.268]
所以生活是非常艰苦的。,所以生活是非常艰苦。,[ʃɔ⁴⁴.i²⁴.ʃeŋ⁵².ut².ʃi²⁴.fi⁵².tʃiæŋ²³¹.kan⁵².fu⁴⁴.],[02:17.440]
当了一辈子的地主婆。,当一辈子（□□）地主啲地主婆。,[ɗɔŋ⁵².iɐt⁵.ɓøi³³.ti⁴⁴..tʃy²¹.ti⁴⁴..ti²¹.tʃy⁴⁴.ɗi⁵².ti²¹.tʃy⁴⁴.pɔ²³¹.],[02:20.440]
但是我姐夫呢是比较能吃苦。,但系我姐夫呢，是，比较吃得苦。,[tan²¹.hei²¹.ŋɔ²⁴.tɛ³³.fu⁵².ni³³..ʃi²⁴..ɓi⁴⁴.kɑo³³.hek⁵.ɗɐk⁵.fu⁴⁴.],[02:25.088]
我的印象里头呢，我姐夫呢，一个印象是他在我们村旁边修那个水库的时候呢，他作为民工，他来修水库。,我个印象里头呢，我姐夫呢，一个印象，是，佢，我队，村，旁边修个水库只时候呢，作为民工，佢来修水库。,[ŋɔ²⁴.kɔ³³.iɐn³³.θiæŋ²⁴.ly²⁴.tɐu²³¹.ni³³..ŋɔ²⁴.tɛ³³.fu⁵².ni³³..iɐt⁵.kɔ³³.iɐn³³.θiæŋ²⁴..ʃi²⁴..ky²⁴..ŋɔ²⁴.tøi²¹..tʰun⁵²..pɔŋ²¹.ɓin⁵².θɐu⁵².kɔ³³.ʃøi⁴⁴.fu³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..tɔk³.uei²¹.mɐn²¹.koŋ⁵²..ky²⁴.lœ²³¹.θɐu⁵².ʃøi⁴⁴.fu³³.],[02:29.619]
我在工地上头走过，路过见到他，在那里打石头。,我在工地上头，行，行，跟啲过，见佢，在亚啲打石头。,[ŋɔ²⁴.θœ²⁴.koŋ⁵².ti²¹.ʃiæŋ²¹.tɐu²³¹..heŋ²¹..heŋ²¹..kɐn⁵².ɗi⁵².kɔ³³..kin³³.ky²⁴..θœ²⁴.a³³.ɗi⁵².ɗa⁴⁴.ʃek².tɐu²³¹.],[02:44.650]
我现在还有很深的印象。,只印象我□，而家□印象□好深。,[tʃek⁵.iɐn³³.θiæŋ²⁴.ŋɔ²⁴.tʃeŋ²¹..i²¹.ka⁵².tʃeŋ²¹.iɐn³³.θiæŋ²⁴.tʃeŋ²¹.hou⁴⁴.ʃɐm⁵².],[02:50.822]
另外呢，后来呢就是木场了。,另外亚呢，后尾呢，就是，木场，啊。,[leŋ²¹.ŋœ²¹.a³³.ni³³..hɐu²¹.mi⁴⁴.ni³³..tɐu²¹.ʃi²⁴..mok².tʃiæŋ²³¹..a²¹.],[02:53.569]
藤县有个（地方）叫做木场。,藤县有个喊做木场。,[tɐŋ²¹.ɲiun²¹.iɐu²⁴.kɔ³³.hiæm³³.tu²¹.mok².tʃiæŋ²³¹.],[02:59.348]
实际就是西江木材水运局。,实际就是西江木材水运局。,[ʃɐt².tei⁴²³.tɐu²¹.ʃi²⁴.θei⁵².kɔŋ⁵².mok².θœ²³¹.ʃøi⁴⁴.uɐn²¹.kok².],[03:01.706]
西江木材水运局呢，因为他是负责西江流域上的木材的转运。,西江木材水运局呢，因为，佢是负责，西江流域上头，个木材个转运。,[θei⁵².kɔŋ⁵².mok².θœ²³¹.ʃøi⁴⁴.uɐn²¹.kok².ni³³..ɐn⁵².uei²¹..ky²⁴.ʃi²⁴.fu²¹.tʃak³..θei⁵².kɔŋ⁵².lɐu²¹.uek².ʃiæŋ²¹.tɐu²³¹..kɔ³³.mok².θœ²³¹.kɔ³³.tʃun⁴⁴.uɐn²¹.],[03:06.328]
那些以前呢，是国家重要的物资。,嗰啲以前呢是国家个重要个物资。,[kɔ³³.ɗi⁵².i²⁴.θin²³¹.ni³³.ʃi²⁴.kɔk³.ka⁵².kɔ³³.tʃoŋ²⁴.ɲiu³³.kɔ³³.mɐt².ti⁵².],[03:16.218]
转运木材那些活，是非常辛苦的。,转运木材呢嗰啲工是非常辛苦嘅。,[tʃun⁴⁴.uɐn²¹.mok².θœ²³¹.ni³³.kɔ³³.ɗi⁵².koŋ⁵².ʃi²⁴.fi⁵².tʃiæŋ²³¹.θɐn³³.fu⁴⁴.kɛ³³.],[03:20.463]
乡下的木材，一般都是（枕木，）做枕木原料的比较多。,乡下个木材，一般都是枕木，做枕木原料个比较多。,[hiæŋ⁵².ha²¹.kɔ³³.mok².θœ²³¹..iɐt⁵.ɓun⁵².ɗu³³.ʃi²⁴.tʃɐm⁴⁴.mok²..tu²¹.tʃɐm⁴⁴.mok².ɲiun²¹.liu²¹.kɔ³³.ɓi⁴⁴.kɑo³³.ɗɔ⁵².],[03:26.118]
啊，几米长的松木，从车上抱下来。,啊，几米长个松木，在车上兜落来。,[a²¹..ki⁴⁴.mɐi⁵².tʃiæŋ²³¹.kɔ³³.θoŋ²¹.mok²..θœ²⁴.tʃʰɛ⁵².ʃiæŋ²¹.ɗɐu⁴²³.lɔk².lœ²³¹.],[03:32.716]
要有工人将他们堆叠成堆。,要有工人将佢，林成堆。,[ɲiu³³.iɐu²⁴.koŋ⁵².ɲiɐn²³¹.tiæŋ⁵².ky²⁴..lɐm²¹.ʃeŋ²¹.ɗøi⁵².],[03:37.731]
一垛垛地堆成堆，堆成排这样。,一垛一垛个林成堆，林成排噉呅。,[iɐt⁵.ɗɔ⁴⁴.iɐt⁵.ɗɔ⁴⁴.kɔ³³.lɐm²¹.ʃeŋ²¹.ɗøi⁵²..lɐm²¹.ʃeŋ²¹.pæ²³¹.kom³³.mɐn⁵².],[03:41.812]
另外呢再，从木场上头呢，把它们弄下去到河边。,另外呢再，在木场上头呢，把佢□落河边。,[leŋ²¹.ŋœ²¹.ni³³.tœ³³..θœ²⁴.mok².tʃiæŋ²³¹.ʃiæŋ²¹.tɐu²³¹.ni³³..ɓa⁴⁴.ky²⁴.iau³³.lɔk².hɔ²¹.ɓin⁵².],[03:45.838]
在下面的河那里呢，扎成木排，一个个的大木排，一条条木头，把他们搭在一起，扎成木排。,在河底头呢，扎成排，一嚿嚿大排，一条条木头，拧个，搭在一起，扎成排。,[θœ²⁴.hɔ²³¹.ɗei⁴⁴.tɐu²³¹.ni³³..tʃat³.ʃeŋ²¹.pæ²³¹..iɐt⁵.kɐu²¹.kɐu²¹.tæ²¹.pæ²³¹..iɐt⁵.tiu²³¹.tiu²³¹.mok².tɐu²³¹..neŋ⁴⁴.kɔ³³..ɗap³.θœ²⁴.iɐt⁵.hi⁴⁴..tʃat³.ʃeŋ²¹.pæ²³¹.],[03:52.028]
扎成木排的时候呢，就用那个拖斗，啊，用轮船，那些。,扎成排时候呢，就用亚啲拖斗，啊，用轮船，亚啲。,[tʃat³.ʃeŋ²¹.pæ²³¹.ʃi²¹.hɐu²⁴.ni³³..tɐu²¹.ioŋ²¹.a³³.ɗi⁵².tʰɔ⁵².ɗɐu⁴⁴..a²¹..ioŋ²¹.lɐn²¹.ʃiun²³¹..a³³.ɗi⁵².],[04:01.125]
拖斗就是那些动力那种轮船，就*将他们，往上运到贵港上面，上火车。,拖斗即是亚啲动力亚啲轮船，就停将佢，往上拖到贵港上头，上火车。,[tʰɔ⁵².ɗɐu⁴⁴.tek⁵.ʃi²⁴.a³³.ɗi⁵².toŋ²⁴.lek².a³³.ɗi⁵².lɐn²¹.ʃiun²³¹..tɐu²¹.teŋ²³¹.tiæŋ⁵².ky²⁴..uɔŋ²⁴.ʃiæŋ²¹.tʰɔ⁵².tou³³.kei³³.kɔŋ⁴⁴.ʃiæŋ²¹.tɐu²³¹..ʃiæŋ²⁴.fɔ⁴⁴.tʃʰɛ⁵².],[04:06.148]
更多个是运到，底下的广州去，有些就运到全国各地或者是运出香港，给人家去做……,更多个是拖到，广州底头，啊，去，有就运到全国各地或者是运出香港，畀人哋做，诶……,[kɐŋ³³.ɗɔ⁵².kɔ³³.ʃi²⁴.tʰɔ⁵².tou³³..kɔŋ⁴⁴.tʃɐu⁵².ɗei⁴⁴.tɐu²³¹..a²¹..hy³³..iɐu²⁴.tɐu²¹.uɐn²¹.tou³³.θun²¹.kɔk³.kɔk³.ti²¹.uɔk².tʃɛ⁴⁴.ʃi²⁴.uɐn²¹.tʃʰɐt⁵.hiæŋ⁵².kɔŋ⁴⁴..ɓi⁴⁴.ɲiɐn²³¹.ti²¹.tu²¹..a²¹..],[04:15.095]
一个是做铁路的枕木，一个是做其他什么的原料。,一个是做铁路个枕木，一个是做其他乜嘢原料。,[iɐt⁵.kɔ³³.ʃi²⁴.tu²¹.tʰit³.lu²¹.kɔ³³.tʃɐm⁴⁴.mok²..iɐt⁵.kɔ³³.ʃi²⁴.tu²¹.ki²¹.tʰa⁵².mɐt⁵.ɲɛ²⁴.ɲiun²¹.liu²¹.],[04:24.758]
他那种工人是非常辛苦的。,佢嗰啲工人是非常辛苦嘅。,[ky²⁴.kɔ³³.ɗi⁵².koŋ⁵².ɲiɐn²³¹.ʃi²⁴.fi⁵².tʃiæŋ²³¹.θɐn³³.fu⁴⁴.kɛ³³.],[04:28.842]
木场呢就在各地农村招那些工人去，去干活。,木场呢就在各地农村招嗰啲工人去，去做工。,[mok².tʃiæŋ²³¹.ni³³.tɐu²¹.θœ²⁴.kɔk³.ti²¹.noŋ²¹.tʰun⁵².tʃiu⁵².kɔ³³.ɗi⁵².koŋ⁵².ɲiɐn²³¹.hy³³..hy³³.tu²¹.koŋ⁵².],[04:31.618]
我姐夫呢就去干那种活。,我姐夫呢就去做嗰啲工。,[ŋɔ²⁴.tɛ³³.fu⁵².ni³³.tɐu²¹.hy³³.tu²¹.kɔ³³.ɗi⁵².koŋ⁵².],[04:36.482]
和他一起干活的很多人都做不下去，都回来了。,同佢一起做工个好多人都做冇落去，都返返来咯。,[toŋ²¹.ky²⁴.iɐt⁵.hi⁴⁴.tu²¹.koŋ⁵².kɔ³³.hou⁴⁴.ɗɔ⁵².ɲiɐn²³¹.ɗu³³.tu²¹.mɑo²⁴.lɔk².hy³³..ɗu³³.fan⁴⁴.fan⁴⁴.lœ²³¹.lɔk³.],[04:38.870]
但是他坚持下来了。,但系佢坚持落来。,[tan²¹.hei²¹.ky²⁴.kin⁵².tʃi²³¹.lɔk².lœ²³¹.],[04:43.307]
后来他就成为了正式的工人，啊，在木场。,后尾佢就成为了正式个工人，啊，在木场。,[hɐu²¹.mi⁴⁴.ky²⁴.tɐu²¹.ʃeŋ²¹.uei²¹.liu²⁴.tʃeŋ³³.ʃek⁵.kɔ³³.koŋ⁵².ɲiɐn²³¹..a²¹..θœ²⁴.mok².tʃiæŋ²³¹.],[04:44.486]
我记得那个时候我们，诶，其他农村人不怎么有米吃的那个时候呢，他是四十五斤米一个月的，属于*种的体力工人。,我记得亚只时候我队，诶，其他农村人冇乜有米吃亚只时候呢，佢是四十五斤米一只月嘅，属于□种个体力工人。,[ŋɔ²⁴.ki³³.ɗɐk⁵.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ŋɔ²⁴.tøi²¹..a²¹..ki²¹.tʰa⁵².noŋ²¹.tʰun⁵².ɲiɐn²³¹.mɑo²⁴.mɐt⁵.iɐu²⁴.mɐi²⁴.hek⁵.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..ky²⁴.ʃi²⁴.θi³³.ʃɐp².ŋ²⁴.kɐn⁵².mɐi²⁴.iɐt⁵.tʃek⁵.ɲiut².kɛ³³..ʃok².y⁵².tøi³³.tʃoŋ⁴⁴.kɔ³³.tʰei⁴⁴.lek².koŋ⁵².ɲiɐn²³¹.],[04:48.137]
啊工资可能不是好高，但是他有劳保。,啊工资可能冇系好高，但系佢有劳保。,[a²¹.koŋ³³.ti⁵².hɔ⁴⁴.nɐŋ²¹.mɑo²⁴.hei²¹.hou⁴⁴.kou⁵²..tan²¹.hei²¹.ky²⁴.iɐu²⁴.lou²¹.ɓou⁴⁴.],[04:59.269]
我记得他村子啊发那些水鞋是到，我们叫做长筒靴，啊到膝盖的那种水靴。,我记得佢村啊发亚啲水鞋是到，我队喊做长筒靴，啊到亚啲膝罗头嘅，亚啲啊，亚啲水靴。,[ŋɔ²⁴.ki³³.ɗɐk⁵.ky²⁴.tʰun⁵².a³³.fat³.a³³.ɗi⁵².ʃøi⁴⁴.hæ²³¹.ʃi²⁴.tou³³..ŋɔ²⁴.tøi²¹.hiæm³³.tu²¹.tʃiæŋ²¹.tʰoŋ⁴⁴.høi⁵²..a²¹.tou³³.a³³.ɗi⁵².θɐt³.lɔ²³¹.tɐu²³¹.kɛ³³..a³³.ɗi⁵².a³³..a³³.ɗi⁵².ʃøi³³.høi⁵².],[05:02.834]
我读高中那个时候呢，那时候中学里头那些路是很烂的，啧。,我读高中亚只时候呢，亚里中学里头亚啲路是好烂嘅，啧。,[ŋɔ²⁴.tok².kou³³.tʃoŋ⁵².a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..a³³.ly⁴⁴.tʃoŋ⁵².hɔk².ly²⁴.tɐu²³¹.a³³.ɗi⁵².lu²¹.ʃi²⁴.hou⁴⁴.lan²¹.kɛ³³...],[05:11.344]
我班上有一个同学，他的老爸刚好是跟我姐夫同一个单位工作的。,我班上有一个同学，佢个老头啱好是同，我姐夫是同一个单位工作个。,[ŋɔ²⁴.ɓan⁵².ʃiæŋ²¹.iɐu²⁴.iɐt⁵.kɔ³³.toŋ²¹.hɔk²..ky²⁴.kɔ³³.lou²⁴.tɐu²¹.ɲiæm⁵².hou⁴⁴.ʃi²⁴.toŋ²¹..ŋɔ²⁴.tɛ³³.fu⁵².ʃi²⁴.toŋ²¹.iɐt⁵.kɔ³³.ɗan⁵².uei²¹.koŋ⁵².tɔk³.kɔ³³.],[05:17.734]
他就，经常下雨天就就穿个水靴来，啊。,佢就，经常落水天就穿嚿水靴来，啊。,[ky²⁴.tɐu²¹..keŋ⁵².tʃiæŋ²³¹.lɔk².ʃøi⁴⁴.tʰin⁵².tɐu²¹.tʃʰun⁵².kɐu²¹.ʃøi³³.høi⁵².lœ²³¹..a²¹.],[05:25.031]
我就觉得很羡慕。,我就觉得好羡慕。,[ŋɔ²⁴.tɐu²¹.kɔk³.ɗɐk⁵.hou⁴⁴.θin²⁴.mu²¹.],[05:29.669]
