普通话文本,藤县话文本,IPA,起始时间(音频时间戳)
*詈词*，我为什么会没有双水靴呢？,屌那妈閪，我点呅会唔会有嚿水靴呢？,[ɗiu²³¹.na²⁴.ma⁵².hæ⁵²..ŋɔ²⁴.ɗim³³.mɐn⁵².uøi³³.ŋ²¹.uøi³³.iɐu²⁴.kɐu²¹.ʃøi³³.høi⁵².ni³³.],[05:31.468]
于是，我就去找我姐夫，（问他）是不是能够给我一双水靴。,噉呅，我就□我姐夫，是冇是能够畀嚿水靴我。,[kom³³.mɐn⁵²..ŋɔ²⁴.tɐu²¹.uɐn⁴⁴.ŋɔ²⁴.tɛ³³.fu⁵²..ʃi²⁴.mɑo²⁴.ʃi²⁴.nɐŋ²¹.kɐu³³.ɓi⁴⁴.kɐu²¹.ʃøi³³.høi⁵².ŋɔ²⁴.],[05:33.803]
实际上那些（半）筒靴呢，他（自己）没有多少双。,实际呢，佢呢，个亚啲半桶靴呢，又冇有几多嚿，啊。,[ʃɐt².tei⁴²³.ni³³..ky²⁴.ni³³..kɔ³³.a³³.ɗi⁵².ɓun³³.tʰoŋ⁴⁴.høi⁵².ni³³..iɐu²¹.mɑo²⁴.iɐu²⁴.ki⁴⁴.ɗɔ⁵².kɐu²¹..a²¹.],[05:38.067]
后来我这个愿望都没能够实现。,后尾我只愿望都冇能够实现，啊。,[hɐu²¹.mi⁴⁴.ŋɔ²⁴.tʃek⁵.ɲiun²¹.mɔŋ²¹.ɗu³³.mɑo²⁴.nɐŋ²¹.kɐu³³.ʃɐt².in²¹..a²¹.],[05:43.449]
想找个（半）筒靴子都找不到。,想□嚿半桶靴都□冇到，啊。,[θiæŋ⁴⁴.uɐn⁴⁴.kɐu²¹.ɓun³³.tʰoŋ⁴⁴.høi⁵².ɗu³³.uɐn⁴⁴.mɑo²⁴.tou³³..a²¹.],[05:46.832]
那个时候就是这样的一个情况。,亚只时候就是噉呅个情况。,[a³³.tʃek⁵.ʃi²¹.hɐu²⁴.tɐu²¹.ʃi²⁴.kom³³.mɐn⁵².kɔ³³.θeŋ²¹.kʰɔŋ³³.],[05:49.746]
那么我大姐呢在村里也是，干活很勤快的，在村里头。,噉呅我大姐呢在村里头，诶，做工是，又是好勤力，啊，在村内头。,[kom³³.mɐn⁵².ŋɔ²⁴.tæ²¹.tɛ³³.ni³³.θœ²⁴.tʰun⁵².ly²⁴.tɐu²³¹..a²¹..tu²¹.koŋ⁵².ʃi²⁴..iɐu²¹.ʃi²⁴.hou⁴⁴.kɐn²¹.lek²..a²¹..θœ²⁴.tʰun⁵².nøi²¹.tɐu²³¹.],[05:51.495]
因为她（也）是没有文化。,因为佢亦是冇有文化。,[ɐn⁵².uei²¹.ky²⁴.hek².ʃi²⁴.mɑo²⁴.iɐu²⁴.mɐn²¹.fa⁴²³.],[05:59.662]
但是她收着了很多东西。,但系佢收到好多嘢。,[tan²¹.hei²¹.ky²⁴.ʃɐu⁵².tou³³.hou⁴⁴.ɗɔ⁵².ɲɛ²⁴.],[06:01.525]
啊，我上次我做那个《中国语言文化典藏・藤县点》的时候，我都专程去她家里去找。,啊，我上次我做个只中国语言文化典藏，藤县点个只时候，我都专门到佢屋里头去□。,[a²¹..ŋɔ²⁴.ʃiæŋ²¹.tʰi³³.ŋɔ²⁴.tu²¹.kɔ³³.tʃek⁵.tʃoŋ⁵².kɔk³.ɲy²⁴.ɲin²³¹.mɐn²¹.fa⁴²³.ɗin⁴⁴.θɔŋ²³¹..tɐŋ²¹.ɲiun²¹.ɗim⁴⁴.kɔ³³.tʃek⁵.ʃi²¹.hɐu²⁴..ŋɔ²⁴.ɗu³³.tʃiun⁵².mun²³¹.tou³³.ky²⁴.ok⁵.ly²⁴.tɐu²³¹.hy³³.lɐn⁴⁴.],[06:03.925]
翻箱倒柜地去找有什么东西能够代表其他那些（内容）的。,翻箱倒柜去□到有乜嘢旧物品能够代表其他亚个嘅。,[fan³³.θiæŋ⁵².tou⁴⁴.kei²¹.hy³³.lɐn⁴⁴.tou³³.iɐu²⁴.mɐt⁵.ɲɛ²⁴.tʃɐu²¹.mɐt².pʰɐn⁴⁴.nɐŋ²¹.kɐu³³.tœ²¹.ɓiu⁴⁴.ki²¹.tʰa⁵².a³³.kɔ³³.kɛ³³.],[06:11.147]
我就发现呢，她的笼箱里头收着了几样东西。,我就发现呢，佢个笼箱里头收咯几样嘢。,[ŋɔ²⁴.tɐu²¹.fat³.in²¹.ni³³..ky²⁴.kɔ³³.loŋ²¹.θiæŋ⁵².ly²⁴.tɐu²³¹.ʃɐu⁵².lɔk³.ki⁴⁴.iæŋ²¹.ɲɛ²⁴.],[06:16.142]
一样是，我母亲那个时候做的很多蚊帐。,一样是，我，老母，亚只时候，诶，整到好多蚊帐。,[iɐt⁵.iæŋ²¹.ʃi²⁴..ŋɔ²⁴..lou²⁴.mu²⁴..a³³.tʃek⁵.ʃi²¹.hɐu²⁴..a²¹..tʃeŋ⁴⁴.tou³³.hou⁴⁴.ɗɔ⁵².mɐn²¹.tʃiæŋ³³.],[06:20.735]
我母亲是很勤劳的。,我老母是好勤劳。,[ŋɔ²⁴.lou²⁴.mu²⁴.ʃi²⁴.hou⁴⁴.kɐn²¹.lou²¹.],[06:28.115]
她（给）她所有的子女，孙子，给他们没人都织了一顶蚊帐。,佢个所有个子女，孙子，每人帮佢织一床蚊帐。,[ky²⁴.kɔ³³.ʃɔ⁴⁴.iɐu²⁴.kɔ³³.ti⁴⁴.ny²⁴..θun³³.ti⁴⁴..møi²⁴.ɲiɐn²³¹.ɓɔŋ⁵².ky²⁴.tʃek⁵.iɐt⁵.ʃɔŋ²³¹.mɐn²¹.tʃiæŋ³³.],[06:30.373]
那么给我姐姐的，包括她的儿子的蚊帐，她都织好了。,噉织畀个我亚姨嘅包括佢个仔嘅，个蚊帐，佢都织好咯。,[kom³³.tʃek⁵.ɓi⁴⁴.kɔ³³.ŋɔ²⁴.a³³.i²³¹.kɛ³³.ɓɑo⁵².kʰut³.ky²⁴.kɔ³³.tei⁴⁴.kɛ³³..kɔ³³.mɐn²¹.tʃiæŋ³³..ky²⁴.ɗu³³.tʃek⁵.hou⁴⁴.lɔk³.],[06:37.109]
啊，包括我姐姐的儿子的蚊帐都织好了。,啊，包括我亚姨个仔个蚊帐都织好咯。,[a²¹..ɓɑo⁵².kʰut³.ŋɔ²⁴.a³³.i²³¹.kɔ³³.tei⁴⁴.kɔ³³.mɐn²¹.tʃiæŋ³³.ɗu³³.tʃek⁵.hou⁴⁴.lɔk³.],[06:43.532]
他就收在里头，啊，我拿出来作为我《典藏》的那个蚊，啊，苎麻蚊帐，还有。,佢就，收在里头，啊，我搦出来作为我典藏个个蚊，啊，苎麻蚊帐，□有。,[ky²⁴.tɐu²¹..ʃɐu⁵².θœ²⁴.ly²⁴.tɐu²³¹..a²¹..ŋɔ²⁴.nek⁵.tʃʰɐt⁵.lœ²³¹.tɔk³.uei²¹.ŋɔ²⁴.ɗin⁴⁴.θɔŋ²³¹.kɔ³³.kɔ³³.mɐn²¹..a²¹..tʃy²¹.ma²³¹.mɐn²¹.tʃiæŋ³³..tʃeŋ²¹.iɐu²⁴.],[06:45.939]
另外我母亲做那些呢，头髻，就是以前妇女啊戴在头上的那些头髻，她也好好地收着了。,另外我老母，做亚啲呢，头髻，即讲以前妇女啊戴在头上亚啲头髻，佢又收得好好。,[leŋ²¹.ŋœ²¹.ŋɔ²⁴.lou²⁴.mu²⁴..tu²¹.a³³.ɗi⁵².ni³³..tɐu²³¹.kei³³..tek⁵.kɔŋ⁴⁴.i²⁴.θin²³¹.fu²¹.ny²⁴.a³³.ɗæ³³.θœ²⁴.tɐu²³¹.ʃiæŋ²¹.a³³.ɗi⁵².tɐu²³¹.kei³³..ky²⁴.iɐu²¹.ʃɐu⁵².ɗɐk⁵.hou⁴⁴.hou⁴⁴.],[06:53.441]
所以村里头那些人呢管她叫“十有婆”，啊。,所以村里头亚啲，亚啲人呢喊佢喊做十有婆，啊。,[ʃɔ⁴⁴.i²⁴.tʰun⁵².ly²⁴.tɐu²³¹.a³³.ɗi⁵²..a³³.ɗi⁵².ɲiɐn²³¹.ni³³.hiæm³³.ky²⁴.hiæm³³.tu²¹.ʃɐp².iɐu²⁴.pɔ²³¹..a²¹.],[07:02.192]
管我姐姐叫做“十有婆”，是说很多东西她都不舍得扔掉，全部收在里头。,喊我亚姨喊做十有婆，即佢，好多嘢佢都冇舍得丢，全部收在里头。,[hiæm³³.ŋɔ²⁴.a³³.i²³¹.hiæm³³.tu²¹.ʃɐp².iɐu²⁴.pɔ²³¹..tek⁵.ky²⁴..hou⁴⁴.ɗɔ⁵².ɲɛ²⁴.ky²⁴.ɗu³³.mɑo²⁴.ʃɛ⁴⁴.ɗɐk⁵.ɗiu⁵²..θun²¹.pu²¹.ʃɐu⁵².θœ²⁴.ly²⁴.tɐu²³¹.],[07:07.433]
我姐夫比较熟悉木工，那些“浸桶”。,我姐夫呢有□熟木□嘅，亚啲儿，浸桶。,[ŋɔ²⁴.tɛ³³.fu⁵².ni³³.iɐu²⁴.meŋ⁴⁴.ʃok².mok².kɐk⁵.kɛ³³..a³³.ɗi⁵².ɲi⁵²..tɐm³³.tʰoŋ⁴⁴.],[07:13.529]
“浸桶”是指什么呢。,浸桶呢是指乜嘢呢。,[tɐm³³.tʰoŋ⁴⁴.ni³³.ʃi²⁴.tʃi⁴⁴.mɐt⁵.ɲɛ²⁴.ni³³.],[07:18.356]
“浸桶”就是，诶，用木，木做的水桶。,浸桶就是，诶，用木，木做个水桶。,[tɐm³³.tʰoŋ⁴⁴.tɐu²¹.ʃi²⁴..a²¹..ioŋ²¹.mok²..mok².tu²¹.kɔ³³.ʃøi³³.tʰoŋ⁴⁴.],[07:20.771]
担水个水桶是比较长，比较高的。,担水个水桶是比较长比较高个。,[ɗam⁵².ʃøi⁴⁴.kɔ³³.ʃøi³³.tʰoŋ⁴⁴.ʃi²⁴.ɓi⁴⁴.kɑo³³.tʃiæŋ²³¹.ɓi⁴⁴.kɑo³³.kou⁵².kɔ³³.],[07:25.677]
“浸桶”呢就是那种，（高度）等于水桶一半这么高的木桶。,浸桶呢就是亚种，诶，等于水桶一半，噉，噉高嘅，个木桶。,[tɐm³³.tʰoŋ⁴⁴.ni³³.tɐu²¹.ʃi²⁴.a³³.tʃoŋ⁴⁴..a²¹..ɗɐŋ⁴⁴.y⁵².ʃøi³³.tʰoŋ⁴⁴.iɐt⁵.ɓun³³..kom³³..kom³³.kou⁵².kɛ³³..kɔ³³.mok².tʰoŋ⁴⁴.],[07:29.485]
以前呢，诶，不像现在这样，哦，有塑料桶（可以）买。,以前呢，诶，冇像亚里，而家噉呅哦有塑料桶买。,[i²⁴.θin²³¹.ni³³..a²¹..mɑo²⁴.θiæŋ²⁴.a³³.ly⁴⁴..i²¹.ka⁵².kom³³.mɐn⁵².ɔ³³.iɐu²⁴.θɔk³.liu²¹.tʰoŋ⁴⁴.mæ²⁴.],[07:38.348]
再往前呢就是那种铁皮桶。,再往前呢就是亚啲，亚啲铁皮桶。,[tœ³³.uɔŋ²⁴.θin²³¹.ni³³.tɐu²¹.ʃi²⁴.a³³.ɗi⁵²..a³³.ɗi⁵².tʰit³.pi²³¹.tʰoŋ⁴⁴.],[07:44.808]
以前没有那种，很少的。,以前冇有个种，好少嘅。,[i²⁴.θin²³¹.mɑo²⁴.iɐu²⁴.kɔ³³.tʃoŋ⁴⁴..hou⁴⁴.ʃiu⁴⁴.kɛ³³.],[07:47.633]
我们读中学呢，都是用一种（桶，叫做）浸桶，就是木头做的水桶，用来洗澡，洗脸,我队读中学呢，都是用一种喊做浸桶，就是木头做亚种，水桶，搦来洗，诶，洗身，啊，洗面。,[ŋɔ²⁴.tøi²¹.tok².tʃoŋ⁵².hɔk².ni³³..ɗu³³.ʃi²⁴.ioŋ²¹.iɐt⁵.tʃoŋ⁴⁴.hiæm³³.tu²¹.tɐm³³.tʰoŋ⁴⁴..tɐu²¹.ʃi²⁴.mok².tɐu²³¹.tu²¹.a³³.tʃoŋ⁴⁴..ʃøi³³.tʰoŋ⁴⁴..nek⁵.lœ²³¹.θei⁴⁴..a²¹..θei⁴⁴.ʃɐn⁵²..a²¹..θei⁴⁴.min²¹.],[07:49.926]
啊，（每人）都是每人一个。,啊，每人都，每人一个。,[a²¹..møi²⁴.ɲiɐn²³¹.ɗu³³..møi²⁴.ɲiɐn²³¹.iɐt⁵.kɔ³³.],[07:59.993]
大部分人的都是木头做的。,大部分人，个，都是木头做嘅。,[tæ²¹.pu²¹.fɐn²¹.ɲiɐn²³¹..kɔ³³..ɗu³³.ʃi²⁴.mok².tɐu²³¹.tu²¹.kɛ³³.],[08:02.069]
如果个别有谁有用铁桶或者是那种什么铝做的那种，那些是跟高级的啦。,如果有边个有个别有用铁桶或者是亚种乜嘢铝亚种，亚啲是好高级个啦。,[ʃy²¹.kɔ⁴⁴.iɐu²⁴.ɓin⁵².kɔ³³.iɐu²⁴.kɔ³³.pit².iɐu²⁴.ioŋ²¹.tʰit³.tʰoŋ⁴⁴.uɔk².tʃɛ⁴⁴.ʃi²⁴.a³³.tʃoŋ⁴⁴.mɐt⁵.ɲɛ²⁴.ly²⁴.a³³.tʃoŋ⁴⁴..a³³.ɗi⁵².ʃi²⁴.hou⁴⁴.kou⁵².kʰɐp⁵.kɔ³³.la³³.],[08:05.050]
所以我姐夫做的那些浸桶，还有在里头，啊。,所以我姐夫做亚啲浸桶，□有在里头，啊。,[ʃɔ⁴⁴.i²⁴.ŋɔ²⁴.tɛ³³.fu⁵².tu²¹.a³³.ɗi⁵².tɐm³³.tʰoŋ⁴⁴..tʃeŋ²¹.iɐu²⁴.θœ²⁴.ly²⁴.tɐu²³¹..a²¹.],[08:11.464]
是作为我，诶，《典藏》那个时候，我又取来，来拍，来拍照也有的。,是作为我，诶，典藏亚只时候，我又搦来，来拍来拍照又有个。,[ʃi²⁴.tɔk³.uei²¹.ŋɔ²⁴..a²¹..ɗin⁴⁴.θɔŋ²³¹.a³³.tʃek⁵.ʃi²¹.hɐu²⁴..ŋɔ²⁴.iɐu²¹.nek⁵.lœ²³¹..lœ²³¹.pʰak³.lœ²³¹.pʰak³.tʃiu³³.iɐu²¹.iɐu²⁴.kɔ³³.],[08:15.599]
还有其他那些，很多东西啦，啊。,□有其他亚啲，好多嘢啦，啊。,[tʃeŋ²¹.iɐu²⁴.ki²¹.tʰa⁵².a³³.ɗi⁵²..hou⁴⁴.ɗɔ⁵².ɲɛ²⁴.la³³..a²¹.],[08:22.451]
我每次经过，回去到我姐姐家，她都会，（我）同她聊聊，以前怎么样啊，啊，诶生活怎么样啊，现在如何啊。,我每次经过，转去到我亚姨屋，佢都会，同佢倾倾，以前呢点呅啊，啊，诶生活点呅啊，个里点呅啊。,[ŋɔ²⁴.møi²⁴.tʰi³³.keŋ⁵².kɔ³³..tʃun³³.hy³³.tou³³.ŋɔ²⁴.a³³.i²³¹.ok⁵..ky²⁴.ɗu³³.uøi³³..toŋ²¹.ky²⁴.kʰeŋ⁵².kʰeŋ⁵²..i²⁴.θin²³¹.ni³³.ɗim³³.mɐn⁵².a³³..a²¹..a²¹.ʃeŋ⁵².ut².ɗim³³.mɐn⁵².a³³..kɔ³³.ly⁴⁴.ɗim³³.mɐn⁵².a³³.],[08:26.022]
所以讲，我就非常怀念我姐姐，就是说，她对我们的照顾。,所以讲，我就非常，诶，怀念我亚姨，即是讲佢对我队个，照顾。,[ʃɔ⁴⁴.i²⁴.kɔŋ⁴⁴..ŋɔ²⁴.tɐu²¹.fi⁵².tʃiæŋ²³¹..a²¹..uæ²¹.nim²³¹.ŋɔ²⁴.a³³.i²³¹..tek⁵.ʃi²⁴.kɔŋ⁴⁴.ky²⁴.ɗøi³³.ŋɔ²⁴.tøi²¹.kɔ³³..tʃiu³³.ku³³.],[08:35.082]
啊，特别是以前经过她家，啊，进屋吃碗粥，啊，自己觉得都很温暖。,啊，特别是以前跟啲过，啊，入屋吃碗粥，啊，自己觉得都，好温暖。,[a²¹..tɐk².pit².ʃi²⁴.i²⁴.θin²³¹.kɐn⁵².ɗi⁵².kɔ³³..a²¹..ɲiɐp².ok⁵.hek⁵.un⁴⁴.tʃok⁵..a²¹..θi²¹.ki⁴⁴.kɔk³.ɗɐk⁵.ɗu³³..hou⁴⁴.uɐn⁵².nun²⁴.],[08:44.211]
我姐姐呢她不识字。,我亚姨呢佢，冇识字。,[ŋɔ²⁴.a³³.i²³¹.ni³³.ky²⁴..mɑo²⁴.ʃek².θi²¹.],[08:51.499]
她一辈子也很迷信。,佢一辈子亦好迷信。,[ky²⁴.iɐt⁵.ɓøi³³.ti⁴⁴.hek².hou⁴⁴.mei²¹.θɐn³³.],[08:54.443]
以前我们（村）往里去有个村叫做古寮村的，有个叫做藤岩的地方。,以前我队入，入啲里头有个村喊做古寮村，有个喊做藤岩个地方。,[i²⁴.θin²³¹.ŋɔ²⁴.tøi²¹.ɲiɐp²..ɲiɐp².ɗi⁵².ly²⁴.tɐu²³¹.iɐu²⁴.kɔ³³.tʰun⁵².hiæm³³.tu²¹.ku³³.liu²³¹.tʰun⁵²..iɐu²⁴.kɔ³³.hiæm³³.tu²¹.tɐŋ²¹.ŋam²³¹.kɔ³³.ti²¹.fɔŋ⁵².],[08:56.157]
经常会做什么，啊，打醮，诶，农村那种啊，照请，请那些道士和尚的，来做那些法事的活动。,经常会做乜嘢，啊，打醮，诶，农村那种啊，照请，请亚队，亚啲道士佬，来做嗰啲佛事，个活动。,[keŋ⁵².tʃiæŋ²³¹.uøi³³.tu²¹.mɐt⁵.ɲɛ²⁴..a²¹..ɗa⁴⁴.tiu⁴²³..a²¹..noŋ²¹.tʰun⁵².na²⁴.tʃoŋ⁴⁴.a²¹..tʃiu³³.tʰeŋ⁴⁴..tʰeŋ⁴⁴.a³³.tøi²¹..a³³.ɗi⁵².tou²¹.ʃi²¹.lou⁴⁴..lœ²³¹.tu²¹.kɔ³³.ɗi⁵².fɐt².ʃi²¹..kɔ³³.ut².toŋ²⁴.],[09:02.978]
有时候她也会上去。,有时佢又会，上去。,[iɐu²⁴.ʃi²¹.ky²⁴.iɐu²¹.uøi³³..ʃiæŋ²⁴.hy³³.],[09:15.109]
上去呢有时她又不进屋，经过村边以后她特地不进来我家。,上去呢有时佢又冇入屋，经，经村边过开佢专门冇入我啲，我啲，我啲屋。,[ʃiæŋ²⁴.hy³³.ni³³.iɐu²⁴.ʃi²¹.ky²⁴.iɐu²¹.mɑo²⁴.ɲiɐp².ok⁵..keŋ⁵²..keŋ⁵².tʰun⁵².ɓin⁵².kɔ³³.hœ⁵².ky²⁴.tʃiun⁵².mun²³¹.mɑo²⁴.ɲiɐp².ŋɔ²⁴.ɗi⁵²..ŋɔ²⁴.ɗi⁵²..ŋɔ²⁴.ɗi⁵².ok⁵.],[09:17.008]
她说因为怕麻烦到我们。,佢话为了怕麻烦我队。,[ky²⁴.ua²¹.uei²¹.liu²⁴.pʰa³³.ma²¹.fan²³¹.ŋɔ²⁴.tøi²¹.],[09:23.832]
她经常又会上来，这样的。,佢经常又，又，啊，会上来，噉呅亚个。,[ky²⁴.keŋ⁵².tʃiæŋ²³¹.iɐu²¹..iɐu²¹..a²¹..uøi³³.ʃiæŋ²⁴.lœ²³¹..kom³³.mɐn⁵².a³³.kɔ³³.],[09:25.679]
我姐姐呢她就，哎呀，到临终的时候我又刚好不在家，她就走了。,我亚姨呢佢就，哎呀，到咯临终个只时候呢啱好亚只时候呢我冇在屋，佢过，过去。,[ŋɔ²⁴.a³³.i²³¹.ni³³.ky²⁴.tɐu²¹..ɐi²¹.ia²¹..tou³³.lɔk³.lɐm²¹.tʃoŋ⁵².kɔ³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³.ɲiæm⁵².hou⁴⁴.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³.ŋɔ²⁴.mɑo²⁴.θœ²⁴.ok⁵..ky²⁴.kɔ³³..kɔ³³.hy³³.],[09:31.168]
以前她，又经常说，啊，,往时佢，佢，又经常讲，啊。,[uɐn²⁴.ʃi²¹.ky²⁴..ky²⁴..iɐu²¹.keŋ⁵².tʃiæŋ²³¹.kɔŋ⁴⁴..a²¹.],[09:39.160]
因为我每次到她家里都会给她，啊，,因为我每次到佢亚啲到会畀佢，啊。,[ɐn⁵².uei²¹.ŋɔ²⁴.møi²⁴.tʰi³³.tou³³.ky²⁴.a³³.ɗi⁵².tou³³.uøi³³.ɓi⁴⁴.ky²⁴..a²¹.],[09:43.550]
以前工资低的那个时候呢每次到都给十几二十块钱。,以前工资低亚只时候呢每次到都畀十把二十文纸。,[i²⁴.θin²³¹.koŋ³³.ti⁵².ɗei⁵².a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³.møi²⁴.tʰi³³.tou³³.ɗu³³.ɓi⁴⁴.ʃɐp².ɓa⁴⁴.ɲi²¹.ʃɐp².mɐn⁵².tʃi⁴⁴.],[09:46.550]
到后来工资高些了的时候，每次到我都给两三百块，啊。,到咯后尾工资高□那里，每次到我都畀两三百，啊。,[tou³³.lɔk³.hɐu²¹.mi⁴⁴.koŋ³³.ti⁵².kou⁵².meŋ⁴⁴.na²⁴.ly²⁴..møi²⁴.tʰi³³.tou³³.ŋɔ²⁴.ɗu³³.ɓi⁴⁴.liæŋ²⁴.θam⁵.ɓek⁵..a²¹.],[09:50.650]
她生病那个时候又会给七八百，啊，或者更多给她去用。,佢生病亚只时候又会畀七八百，啊，或者更多亚啲儿畀过佢使。,[ky²⁴.ʃeŋ³³.peŋ²¹.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.iɐu²¹.uøi³³.ɓi⁴⁴.tʰɐt⁵.ɓat³.ɓek⁵..a²¹..uɔk².tʃɛ⁴⁴.kɐŋ³³.ɗɔ⁵².a³³.ɗi⁵².ɲi⁵².ɓi⁴⁴.kɔ³³.ky²⁴.ʃɐi⁴⁴.],[09:55.130]
哎呀她都觉得，哎呀，我一辈子，她话，哎呀算命先生说的。,哎呀佢都觉得哎呀我一辈子佢话，哎呀算命佬讲。,[ɐi²¹.ia²¹.ky²⁴.ɗu³³.kɔk³.ɗɐk⁵.ɐi²¹.ia²¹.ŋɔ²⁴.iɐt⁵.ɓøi³³.ti⁴⁴.ky²⁴.ua²¹..ɐi²¹.ia²¹.θun³³.meŋ²¹.lou⁴⁴.kɔŋ⁴⁴.],[10:00.394]
我这是，是，是什么，什么，她，,我亚啲是，是，是乜嘢，乜嘢乜，佢。,[ŋɔ²⁴.a³³.ɗi⁵².ʃi²⁴..ʃi²⁴..ʃi²⁴.mɐt⁵.ɲɛ²⁴..mɐt⁵.ɲɛ²⁴.mɐt⁵..ky²⁴.],[10:05.915]
她说得好好笑的，说，,佢讲得佢好好，好好笑个佢讲。,[ky²⁴.kɔŋ⁴⁴.ɗɐk⁵.ky²⁴.hou⁴⁴.hou⁴⁴..hou⁴⁴.hou⁴⁴.θiu³³.kɔ³³.ky²⁴.kɔŋ⁴⁴.],[10:09.589]
诶，说我这是那种什么命，多多少少都会有什么好处的，诶。,诶，讲我是亚啲是乜嘢命，多少会得□乜嘢乜嘢好处嘅，诶。,[a²¹..kɔŋ⁴⁴.ŋɔ²⁴.ʃi²⁴.a³³.ɗi⁵².ʃi²⁴.mɐt⁵.ɲɛ²⁴.meŋ²¹..ɗɔ⁵².ʃiu⁴⁴.uøi³³.ɗɐk⁵.meŋ⁴⁴.mɐt⁵.ɲɛ²⁴.mɐt⁵.ɲɛ²⁴.hou⁴⁴.tʃʰy³³.kɛ³³..a²¹.],[10:12.592]
